score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Mediocre,Batman Forever: The Arcade Game,/games/batman-forever/ps-318,PlayStation,5.0,Action,N,1996,11,2,0.03
Mediocre,Batman & Robin,/games/batman-robin/ps-2274,PlayStation,5.0,Action,N,1998,8,11,0.11
Great,Batman Returns,/games/batman-returns/lynx-5856,Lynx,8.0,Platformer,N,1999,6,30,0.0
Okay,Batman Beyond: Return of the Joker,/games/batman-beyond-return-of-the-joker/gbc-14819,Game Boy Color,6.0,Action,N,2000,11,22,0.17
Great,Batman Vengeance,/games/batman-vengeance/ps2-16274,PlayStation 2,8.0,Action,N,2001,10,17,0.0
Okay,Batman: Rise of Sin Tzu,/games/batman-rise-of-sin-tzu/ps2-493300,PlayStation 2,6.5,Action,N,2003,10,17,0.35
Good,Batman Begins,/games/batman-begins/cell-750795,Wireless,7.1,Action,N,2005,5,31,0.56
Good,LEGO Batman: The Videogame,/games/lego-batman-the-videogame/ps3-896274,PlayStation 3,7.7,"Action, Adventure",N,2008,9,23,3.38
Amazing,Batman: Arkham Asylum,/games/batman-arkham-asylum/ps3-14273490,PlayStation 3,9.3,Action,Y,2009,8,21,4.25
Good,Batman: The Brave and the Bold,/games/batman-the-brave-and-the-bold/nds-45910,Nintendo DS,7.5,Action,N,2010,9,7,0.0
Amazing,Batman: Arkham City,/games/batman-arkham-city/xbox-360-55051,Xbox 360,9.5,Action,Y,2011,10,14,5.53
Mediocre,LEGO Batman 2: DC Super Heroes,/games/lego-batman-2-dc-super-heroes/3ds-124686,Nintendo 3DS,5.5,"Action, Adventure",N,2012,6,21,1.68
Good,Batman: Arkham Origins,/games/batman-arkham-origins/pc-165718,PC,7.8,Action,N,2013,10,25,2.39
Good,LEGO Batman 3: Beyond Gotham,/games/lego-batman-3-beyond-gotham/wii-u-20019920,Wii U,7.4,Action,N,2014,11,22,0.0
Amazing,Batman: Arkham Knight,/games/batman-arkham-knight/ps4-20014107,PlayStation 4,9.2,Action,Y,2015,6,19,3.79
Good,Batman: The Telltale Series -- Episode 1: Realm of Shadows,/games/batman-the-telltale-series-episode-1-realm-of-shadows/pc-20056677,PC,7.5,Adventure,N,2016,8,2,0.0
