score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Great,Street Fighter Alpha 2,/games/street-fighter-alpha-2/ps-476,PlayStation,8.5,Fighting,N,1996,12,11,0.85
Great,Street Fighter EX Plus Alpha,/games/street-fighter-ex-plus/ps-2120,PlayStation,8.3,Fighting,N,1997,10,26,0.75
Okay,X-Men vs. Street Fighter,/games/x-men-vs-street-fighter/ps-39,PlayStation,6.0,Fighting,N,1998,6,11,0.42
Amazing,Street Fighter Alpha 3,/games/street-fighter-alpha-3/ps-10362,PlayStation,9.3,Fighting,Y,1999,5,7,1.03
Great,Street Fighter III: Third Strike -- Fight for the Future,/games/street-fighter-iii-third-strike-fight-for-the-future/dc-14367,Dreamcast,8.3,Fighting,N,2000,10,5,0.0
Great,Super Street Fighter II Turbo Revival,/games/super-street-fighter-ii-turbo/gba-16204,Game Boy Advance,8.0,Fighting,N,2001,11,1,0.0
Great,Street Fighter Anniversary Collection,/games/street-fighter-anniversary-collection/ps2-674676,PlayStation 2,8.5,"Fighting, Compilation",Y,2004,8,26,0.66
Okay,Street Fighter II: The World Warrior,/games/street-fighter-ii/cell-705893,Wireless,6.8,Fighting,N,2006,3,8,6.3
Good,Street Fighter II Turbo,/games/street-fighter-ii-hyper-fighting/wii-901425,Wii,7.5,Fighting,N,2007,6,29,4.1
Great,Super Street Fighter II: The New Challengers,/games/super-street-fighter-ii-the-new-challengers/wii-966943,Wii,8.0,Fighting,Y,2008,2,7,0.0
Amazing,Street Fighter IV,/games/street-fighter-iv/ps3-14211548,PlayStation 3,9.3,Fighting,N,2009,2,12,4.19
Amazing,Super Street Fighter IV,/games/super-street-fighter-iv/xbox-360-35904,Xbox 360,9.0,Fighting,Y,2010,4,23,0.0
Great,Super Street Fighter IV: Arcade Edition,/games/super-street-fighter-iv-arcade-edition/xbox-360-105971,Xbox 360,8.0,Fighting,N,2011,6,6,0.0
Okay,Street Fighter x Tekken,/games/street-fighter-x-tekken/vita-110720,PlayStation Vita,6.6,Fighting,N,2012,10,29,0.0
Amazing,Ultra Street Fighter IV,/games/ultra-street-fighter-4/xbox-360-20002351,Xbox 360,9.0,Fighting,Y,2014,6,3,0.1
Great,Street Fighter V,/games/street-fighter-5/pc-20028616,PC,8.0,Fighting,N,2016,2,15,0.82
